word	gold	predict
and	_	_
fought	_	_
for	_	_
in	_	_
Fallujah	_	_
.	_	_
John	_	_
Donovan	_	_
from	_	_
Argghhh!	_	_
has	_	_
put	_	_
out	_	_
a	_	_
excellent	_	_
slide	_	_
show	_	_
on	_	_
what	ARG1	_
was	_	_
actually	ARGM-ADV	_
found	_	_
and	_	_
fought	_	_
for	_	_
in	_	_
Fallujah	ARGM-LOC	_
.	_	_
John	_	_
Donovan	_	_
from	_	_
Argghhh!	_	_
has	_	_
put	_	_
out	_	_
a	_	_
excellent	_	_
slide	_	_
show	_	_
on	_	_
what	ARG0	_
was	_	_
actually	_	_
found	_	_
and	_	_
fought	_	_
for	ARG2	_
in	_	_
Fallujah	ARGM-LOC	_
.	_	_
Click	_	_
here	ARGM-GOL	ARGM-LOC
To	_	_
view	ARGM-PRP	_
it	_	_
.	_	_
Click	_	_
here	_	_
To	_	_
view	_	_
it	ARG1	ARG1
.	_	_
He	_	ARG0
makes	_	_
some	_	_
good	_	_
observations	ARGM-PRR	ARG1
on	_	_
a	_	_
few	_	_
of	_	_
the	_	_
pic's	_	_
.	_	_
He	ARG0	_
makes	ARGM-LVB	_
some	_	_
good	ARGM-ADJ	ARGM-ADJ
observations	_	_
on	_	_
a	_	_
few	ARG1	_
of	_	_
the	_	_
pic's	_	_
.	_	_
One	ARG0	_
of	_	_
the	_	_
pictures	_	_
shows	_	_
a	_	_
flag	ARG1	_
that	_	_
was	_	_
found	_	_
in	_	_
Fallujah	_	_
.	_	_
One	_	_
of	_	_
the	_	_
pictures	_	_
shows	_	_
a	_	_
flag	_	_
that	_	_
was	_	_
found	_	_
in	_	_
Fallujah	_	_
.	_	_
One	_	_
of	_	_
the	_	_
pictures	_	_
shows	_	_
a	_	_
flag	ARG1	_
that	R-ARG1	_
was	_	_
found	_	_
in	_	_
Fallujah	ARGM-LOC	_
.	_	_
On	_	_
the	_	_
next	_	_
two	_	_
pictures	_	_
he	_	ARG0
took	_	_
screenshots	ARGM-PRR	ARG1
of	_	_
two	_	_
beheading	_	_
video's	_	_
.	_	_
On	_	_
the	_	_
next	_	_
two	_	_
pictures	ARGM-LOC	_
he	ARG0	_
took	ARGM-LVB	_
screenshots	_	_
of	_	_
two	_	_
beheading	_	_
video's	ARG1	_
.	_	_
Compare	_	_
the	_	_
flags	ARG1	_
to	_	_
the	_	_
Fallujah	_	_
one	ARG2	ARG2
.	_	_
You	_	ARG0
have	_	_
to	_	_
see	_	_
these	_	_
slides	_	ARG1
....	_	_
they	_	_
are	_	_
amazing	_	ARG2
.	_	_
You	ARG0	_
have	_	_
to	_	_
see	_	_
these	_	_
slides	ARG1	ARG1
....	_	_
they	_	_
are	_	_
amazing	_	ARG2
.	_	_
You	_	_
have	_	_
to	_	_
see	_	_
these	_	_
slides	_	_
....	_	_
they	ARG1	ARG1
are	_	_
amazing	ARG2	ARG2
.	_	_
You	_	_
have	_	_
to	_	_
see	_	_
these	_	_
slides	_	_
....	_	_
they	ARG0	_
are	_	_
amazing	_	_
.	_	_
This	_	_
Fallujah	ARGM-LOC	_
operation	_	_
my	_	_
turn	_	_
out	_	_
to	_	_
be	_	_
the	_	_
most	_	_
important	_	_
operation	_	_
done	_	_
by	_	_
the	_	_
US	_	_
Military	_	_
since	_	_
the	_	_
end	_	ARGM-TMP
of	_	_
the	_	_
war	_	_
.	_	_
This	_	_
Fallujah	_	_
operation	ARG1	_
my	ARGM-MOD	ARGM-MOD
turn	_	_
out	_	_
to	_	_
be	_	_
the	_	_
most	_	_
important	_	_
operation	ARG2	_
done	_	_
by	_	_
the	_	_
US	_	_
Military	_	_
since	_	_
the	_	_
end	_	ARGM-TMP
of	_	_
the	_	_
war	_	_
.	_	_
This	_	_
Fallujah	_	_
operation	ARG1	_
my	_	_
turn	_	_
out	_	_
to	_	_
be	_	_
the	_	_
most	_	_
important	_	_
operation	ARG2	_
done	_	_
by	_	_
the	_	_
US	_	_
Military	_	_
since	_	_
the	_	_
end	_	ARGM-TMP
of	_	_
the	_	_
war	_	_
.	_	_
This	_	_
Fallujah	_	_
operation	_	_
my	_	_
turn	_	_
out	_	_
to	_	_
be	_	_
the	_	_
most	_	_
important	ARGM-ADJ	_
operation	_	_
done	ARGM-PRD	_
by	_	_
the	_	_
US	_	_
Military	_	_
since	_	_
the	_	_
end	_	ARGM-TMP
of	_	_
the	_	_
war	_	_
.	_	_
This	_	_
Fallujah	_	_
operation	_	ARG1
my	_	_
turn	_	_
out	_	_
to	_	_
be	_	_
the	_	_
most	_	_
important	_	_
operation	ARG1	ARG1
done	_	_
by	_	_
the	_	_
US	_	_
Military	ARG0	_
since	_	_
the	_	_
end	ARGM-TMP	ARGM-TMP
of	_	_
the	_	_
war	_	_
.	_	_
This	_	_
Fallujah	_	_
operation	_	_
my	_	_
turn	_	_
out	_	_
to	_	_
be	_	_
the	_	_
most	_	_
important	_	_
operation	_	_
done	_	_
by	_	_
the	_	_
US	_	_
Military	_	_
since	_	_
the	_	_
end	_	_
of	_	_
the	_	_
war	ARG1	_
.	_	_
This	_	_
Fallujah	_	_
operation	_	_
my	_	_
turn	_	_
out	_	_
to	_	_
be	_	_
the	_	_
most	_	_
important	_	_
operation	_	_
done	_	_
by	_	_
the	_	_
US	_	_
Military	_	_
since	_	_
the	_	_
end	_	_
of	_	_
the	_	_
war	_	_
.	_	_
Let	_	_
me	ARG1	ARG1
join	ARG1	_
the	_	_
chorus	_	_
of	_	_
annoyance	_	_
over	_	_
Google	_	_
's	_	_
new	_	_
toolbar	_	_
,	_	_
which	_	_
,	_	_
as	_	_
noted	_	_
in	_	_
the	_	_
linked	_	_
article	_	_
,	_	_
commits	_	_
just	_	_
about	_	_
every	_	_
sin	_	_
an	_	_
online	_	_
marketer	_	_
could	_	_
commit	_	_
,	_	_
and	_	_
makes	_	_
up	_	_
a	_	_
few	_	_
new	_	_
ones	_	_
besides	_	_
.	_	_
Let	_	_
me	ARG0	ARG0
join	_	_
the	_	_
chorus	ARG1	_
of	_	_
annoyance	_	_
over	_	_
Google	_	_
's	_	_
new	_	_
toolbar	_	_
,	_	_
which	_	_
,	_	_
as	_	_
noted	_	_
in	_	_
the	_	_
linked	_	_
article	_	_
,	_	_
commits	_	_
just	_	_
about	_	_
every	_	_
sin	_	_
an	_	_
online	_	_
marketer	_	_
could	_	_
commit	_	_
,	_	_
and	_	_
makes	_	_
up	_	_
a	_	_
few	_	_
new	_	_
ones	_	_
besides	_	_
.	_	_
Let	_	_
me	_	_
join	_	_
the	_	_
chorus	_	_
of	_	_
annoyance	ARG1	_
over	_	_
Google	_	_
's	_	_
new	_	_
toolbar	_	_
,	_	_
which	_	_
,	_	_
as	_	_
noted	_	_
in	_	_
the	_	_
linked	_	_
article	_	_
,	_	_
commits	_	_
just	_	_
about	_	_
every	_	_
sin	_	_
an	_	_
online	_	_
marketer	_	_
could	_	_
commit	_	_
,	_	_
and	_	_
makes	_	_
up	_	_
a	_	_
few	_	_
new	_	_
ones	_	_
besides	_	_
.	_	_
Let	_	_
me	_	_
join	_	_
the	_	_
chorus	_	_
of	_	_
annoyance	_	_
over	_	_
Google	_	_
's	_	_
new	_	_
toolbar	_	_
,	_	_
which	_	_
,	_	_
as	_	_
noted	_	_
in	_	_
the	_	_
linked	_	_
article	ARGM-LOC	_
,	_	_
commits	_	_
just	_	_
about	_	_
every	_	_
sin	_	_
an	_	_
online	_	_
marketer	_	_
could	_	_
commit	_	_
,	_	_
and	_	_
makes	_	_
up	_	_
a	_	_
few	_	_
new	_	_
ones	_	_
besides	_	_
.	_	_
Let	_	_
me	_	_
join	_	_
the	_	_
chorus	_	_
of	_	_
annoyance	_	_
over	_	_
Google	_	_
's	_	_
new	_	_
toolbar	_	_
,	_	_
which	_	_
,	_	_
as	_	_
noted	_	_
in	_	_
the	_	_
linked	_	_
article	ARG1	ARG2
,	_	_
commits	_	_
just	_	_
about	_	_
every	_	_
sin	_	_
an	_	_
online	_	_
marketer	_	_
could	_	_
commit	_	_
,	_	_
and	_	_
makes	_	_
up	_	_
a	_	_
few	_	_
new	_	_
ones	_	_
besides	_	_
.	_	_
Let	_	_
me	_	_
join	_	_
the	_	_
chorus	_	_
of	_	_
annoyance	_	_
over	_	_
Google	_	_
's	_	_
new	_	_
toolbar	ARG0	_
,	_	_
which	R-ARG0	_
,	_	_
as	_	_
noted	ARGM-ADV	_
in	_	_
the	_	_
linked	_	_
article	_	_
,	_	_
commits	_	_
just	_	_
about	_	_
every	_	_
sin	ARG1	_
an	_	_
online	_	_
marketer	_	_
could	_	_
commit	_	_
,	_	_
and	_	_
makes	_	_
up	_	_
a	_	_
few	_	_
new	_	_
ones	_	_
besides	_	_
.	_	_
Let	_	_
me	_	_
join	_	_
the	_	_
chorus	_	_
of	_	_
annoyance	_	_
over	_	_
Google	_	_
's	_	_
new	_	_
toolbar	_	_
,	_	_
which	_	_
,	_	_
as	_	_
noted	_	_
in	_	_
the	_	_
linked	_	_
article	_	_
,	_	_
commits	_	_
just	_	_
about	_	_
every	_	_
sin	ARG1	_
an	_	_
online	_	_
marketer	ARG0	_
could	ARGM-MOD	ARGM-MOD
commit	_	_
,	_	_
and	_	_
makes	_	_
up	_	_
a	_	_
few	_	_
new	_	_
ones	_	_
besides	_	_
.	_	_
Let	_	_
me	_	_
join	_	_
the	_	_
chorus	_	_
of	_	_
annoyance	_	_
over	_	_
Google	_	_
's	_	_
new	_	_
toolbar	ARG0	_
,	_	_
which	R-ARG0	_
,	_	_
as	_	_
noted	ARGM-ADV	_
in	_	_
the	_	_
linked	_	_
article	_	_
,	_	_
commits	_	_
just	_	_
about	_	_
every	_	_
sin	_	_
an	_	_
online	_	_
marketer	_	_
could	_	_
commit	_	_
,	_	_
and	_	_
makes	_	_
up	_	_
a	_	_
few	_	_
new	_	_
ones	ARG1	_
besides	ARGM-ADV	_
.	_	_
I	ARG1	ARG1
'm	_	_
not	ARGM-NEG	_
fond	ARG2	_
of	_	_
the	_	_
Google	_	_
-	_	_
hates	_	_
-	_	_
privacy	_	_
argument	_	_
I	ARG0	_
'm	_	_
not	ARGM-NEG	ARGM-NEG
fond	_	_
of	_	_
the	_	_
Google	_	_
-	_	_
hates	_	_
-	_	_
privacy	_	_
argument	ARG1	_
I	_	_
'm	_	_
not	_	_
fond	_	_
of	_	_
the	_	_
Google	ARG0	_
-	_	_
hates	_	_
-	_	_
privacy	ARG1	_
argument	_	_
I	_	_
'm	_	_
not	_	_
fond	_	_
of	_	_
the	_	_
Google	_	_
-	_	_
hates	ARG1	_
-	_	_
privacy	_	ARG1
argument	_	_
(	_	_
You	_	ARG0
do	_	_
n't	_	_
need	_	_
to	_	_
use	_	_
their	_	_
site	_	_
,	_	_
you	_	_
can	_	_
opt	_	_
-	_	_
out	_	_
of	_	_
sharing	_	_
your	_	_
information	_	_
,	_	_
you	_	_
do	_	_
n't	_	_
need	_	_
to	_	_
send	_	_
stuff	_	_
to	_	_
anyone	_	_
with	_	_
a	_	_
Gmail	_	_
account	_	_
,	_	_
and	_	_
if	_	_
--	_	_
wonder	_	_
of	_	_
wonders	_	_
--	_	_
you	_	_
're	_	_
worried	_	_
that	_	_
you	_	_
might	_	_
send	_	_
something	_	_
to	_	_
someone	_	_
who	_	_
would	_	_
forward	_	_
an	_	_
excerpt	_	_
to	_	_
someone	_	_
who	_	_
would	_	_
then	_	_
store	_	_
it	_	_
on	_	_
a	_	_
Gmail	_	_
account	_	_
...	_	_
you	_	_
have	_	_
far	_	_
,	_	_
far	_	_
too	_	_
much	_	_
time	_	_
on	_	_
your	_	_
hands	_	_
)	_	_
.	_	_
(	_	_
You	ARG0	ARG0
do	_	_
n't	ARGM-NEG	ARGM-NEG
need	_	_
to	_	_
use	ARG1	_
their	_	_
site	_	_
,	_	_
you	_	_
can	_	_
opt	_	_
-	_	_
out	_	_
of	_	_
sharing	_	_
your	_	_
information	_	_
,	_	_
you	_	_
do	_	_
n't	_	ARGM-NEG
need	_	_
to	_	_
send	_	_
stuff	_	_
to	_	_
anyone	_	_
with	_	_
a	_	_
Gmail	_	_
account	_	_
,	_	_
and	_	_
if	_	_
--	_	_
wonder	_	_
of	_	_
wonders	_	_
--	_	_
you	_	_
're	_	_
worried	_	_
that	_	_
you	_	_
might	_	_
send	_	_
something	_	_
to	_	_
someone	_	_
who	_	_
would	_	_
forward	_	_
an	_	_
excerpt	_	_
to	_	_
someone	_	_
who	_	_
would	_	_
then	_	_
store	_	_
it	_	_
on	_	_
a	_	_
Gmail	_	_
account	_	_
...	_	_
you	_	_
have	_	_
far	_	_
,	_	_
far	_	_
too	_	_
much	_	_
time	_	_
on	_	_
your	_	_
hands	_	_
)	_	_
.	_	_
(	_	_
You	ARG0	ARG0
do	_	_
n't	_	_
need	_	_
to	_	_
use	_	_
their	_	_
site	ARG1	_
,	_	_
you	_	_
can	_	_
opt	_	_
-	_	_
out	_	_
of	_	_
sharing	_	_
your	_	_
information	_	_
,	_	_
you	_	_
do	_	_
n't	_	_
need	_	_
to	_	_
send	_	_
stuff	_	_
to	_	_
anyone	_	_
with	_	_
a	_	_
Gmail	_	_
account	_	_
,	_	_
and	_	_
if	_	_
--	_	_
wonder	_	_
of	_	_
wonders	_	_
--	_	_
you	_	_
're	_	_
worried	_	_
that	_	_
you	_	_
might	_	_
send	_	_
something	_	_
to	_	_
someone	_	_
who	_	_
would	_	_
forward	_	_
an	_	_
excerpt	_	_
to	_	_
someone	_	_
who	_	_
would	_	_
then	_	_
store	_	_
it	_	_
on	_	_
a	_	_
Gmail	_	_
account	_	_
...	_	_
you	_	_
have	_	_
far	_	_
,	_	_
far	_	_
too	_	_
much	_	_
time	_	_
on	_	_
your	_	_
hands	_	_
)	_	_
.	_	_
(	_	_
You	_	ARG0
do	_	_
n't	_	_
need	_	_
to	_	_
use	_	_
their	_	_
site	_	_
,	_	_
you	ARG0	_
can	ARGM-MOD	ARGM-MOD
opt	_	_
-	_	_
out	ARGM-PRD	_
of	_	_
sharing	ARG1	_
your	_	_
information	_	_
,	_	_
you	_	_
do	_	_
n't	_	_
need	_	_
to	_	_
send	_	_
stuff	_	_
to	_	_
anyone	_	_
with	_	_
a	_	_
Gmail	_	_
account	_	_
,	_	_
and	_	_
if	_	_
--	_	_
wonder	_	_
of	_	_
wonders	_	_
--	_	_
you	_	_
're	_	_
worried	_	_
that	_	_
you	_	_
might	_	_
send	_	_
something	_	_
to	_	_
someone	_	_
who	_	_
would	_	_
forward	_	_
an	_	_
excerpt	_	_
to	_	_
someone	_	_
who	_	_
would	_	_
then	_	_
store	_	_
it	_	_
on	_	_
a	_	_
Gmail	_	_
account	_	_
...	_	_
you	_	_
have	_	_
far	_	_
,	_	_
far	_	_
too	_	_
much	_	_
time	_	_
on	_	_
your	_	_
hands	_	_
)	_	_
.	_	_
(	_	_
You	_	ARG0
do	_	_
n't	_	_
need	_	_
to	_	_
use	_	_
their	_	_
site	_	_
,	_	_
you	_	_
can	_	_
opt	_	_
-	_	_
out	_	_
of	_	_
sharing	_	_
your	_	_
information	ARG1	_
,	_	_
you	_	_
do	_	_
n't	_	_
need	_	_
to	_	_
send	_	_
stuff	_	_
to	_	_
anyone	_	_
with	_	_
a	_	_
Gmail	_	_
account	_	_
,	_	_
and	_	_
if	_	_
--	_	_
wonder	_	_
of	_	_
wonders	_	_
--	_	_
you	_	_
're	_	_
worried	_	_
that	_	_
you	_	_
might	_	_
send	_	_
something	_	_
to	_	_
someone	_	_
who	_	_
would	_	_
forward	_	_
an	_	_
excerpt	_	_
to	_	_
someone	_	_
who	_	_
would	_	_
then	_	_
store	_	_
it	_	_
on	_	_
a	_	_
Gmail	_	_
account	_	_
...	_	_
you	_	_
have	_	_
far	_	_
,	_	_
far	_	_
too	_	_
much	_	_
time	_	_
on	_	_
your	_	_
hands	_	_
)	_	_
.	_	_
(	_	_
You	_	ARG0
do	_	_
n't	_	_
need	_	_
to	_	_
use	_	_
their	_	_
site	_	_
,	_	_
you	_	_
can	_	_
opt	_	_
-	_	_
out	_	_
of	_	_
sharing	_	_
your	_	_
information	_	_
,	_	_
you	_	_
do	_	_
n't	_	_
need	_	_
to	_	_
send	_	_
stuff	_	_
to	_	_
anyone	_	_
with	_	_
a	_	_
Gmail	_	_
account	_	_
,	_	_
and	_	_
if	_	_
--	_	_
wonder	_	_
of	_	_
wonders	_	_
--	_	_
you	_	_
're	_	_
worried	_	_
that	_	_
you	_	_
might	_	_
send	_	_
something	_	_
to	_	_
someone	_	_
who	_	_
would	_	_
forward	_	_
an	_	_
excerpt	_	_
to	_	_
someone	_	_
who	_	_
would	_	_
then	_	_
store	_	_
it	_	_
on	_	_
a	_	_
Gmail	_	_
account	_	_
...	_	_
you	_	_
have	_	_
far	_	_
,	_	_
far	_	_
too	_	_
much	_	_
time	_	_
on	_	_
your	_	_
hands	_	_
)	_	_
.	_	_
(	_	_
You	_	ARG0
do	_	_
n't	_	ARGM-NEG
need	_	_
to	_	_
use	_	_
their	_	_
site	_	_
,	_	_
you	_	_
can	_	_
opt	_	_
-	_	_
out	_	_
of	_	_
sharing	_	_
your	_	_
information	_	_
,	_	_
you	ARG0	_
do	_	_
n't	ARGM-NEG	ARGM-NEG
need	_	_
to	_	_
send	ARG1	_
stuff	_	_
to	_	_
anyone	_	_
with	_	_
a	_	_
Gmail	_	_
account	_	_
,	_	_
and	_	_
if	_	_
--	_	_
wonder	_	_
of	_	_
wonders	_	_
--	_	_
you	_	_
're	_	_
worried	_	_
that	_	_
you	_	_
might	_	_
send	_	_
something	_	_
to	_	_
someone	_	_
who	_	_
would	_	_
forward	_	_
an	_	_
excerpt	_	_
to	_	_
someone	_	_
who	_	_
would	_	_
then	_	_
store	_	_
it	_	_
on	_	_
a	_	_
Gmail	_	_
account	_	_
...	_	_
you	_	_
have	_	_
far	_	_
,	_	_
far	_	_
too	_	_
much	_	_
time	_	_
on	_	_
your	_	_
hands	_	_
)	_	_
.	_	_
(	_	_
You	_	ARG0
do	_	_
n't	_	_
need	_	_
to	_	_
use	_	_
their	_	_
site	_	_
,	_	_
you	_	_
can	_	_
opt	_	_
-	_	_
out	_	_
of	_	_
sharing	_	_
your	_	_
information	_	_
,	_	_
you	ARG0	_
do	_	_
n't	_	_
need	_	_
to	_	_
send	_	_
stuff	ARG1	ARG1
to	_	_
anyone	ARG2	_
with	_	_
a	_	_
Gmail	_	_
account	_	_
,	_	_
and	_	_
if	_	_
--	_	_
wonder	_	_
of	_	_
