word	gold	predict
run	_	_
by	_	_
2	_	_
officials	_	_
of	_	_
the	_	_
Ministry	_	_
of	_	_
the	_	_
Interior	_	_
!	_	_
Two	_	_
of	_	_
them	_	_
were	_	_
being	_	_
run	_	_
by	_	_
2	_	_
officials	_	_
of	_	_
the	_	_
Ministry	_	_
of	_	_
the	_	_
Interior	_	_
!	_	_
Two	ARG1	_
of	_	_
them	_	_
were	_	_
being	_	_
run	_	_
by	_	_
2	_	_
officials	ARG0	_
of	_	_
the	_	_
Ministry	_	_
of	_	_
the	_	_
Interior	_	_
!	_	_
The	_	_
MoI	ARG1	_
in	_	_
Iraq	_	_
is	_	_
equivalent	ARG2	_
to	_	_
the	_	_
US	_	_
FBI	_	_
,	_	_
so	_	_
this	_	_
would	_	_
be	_	_
like	_	_
having	_	_
J.	_	_
Edgar	_	_
Hoover	_	_
unwittingly	_	_
employ	_	_
at	_	_
a	_	_
high	_	_
level	_	_
members	_	_
of	_	_
the	_	_
Weathermen	_	_
bombers	_	_
back	_	_
in	_	_
the	_	_
1960s	_	_
.	_	_
The	_	_
MoI	ARG1	_
in	_	_
Iraq	_	_
is	_	_
equivalent	_	_
to	_	_
the	_	_
US	_	_
FBI	ARG2	_
,	_	_
so	_	_
this	_	_
would	_	_
be	_	_
like	_	_
having	_	_
J.	_	_
Edgar	_	_
Hoover	_	_
unwittingly	_	_
employ	_	_
at	_	_
a	_	_
high	_	_
level	_	_
members	_	_
of	_	_
the	_	_
Weathermen	_	_
bombers	_	_
back	_	_
in	_	_
the	_	_
1960s	_	_
.	_	_
The	_	_
MoI	_	_
in	_	_
Iraq	_	_
is	_	_
equivalent	_	_
to	_	_
the	_	_
US	_	_
FBI	_	_
,	_	_
so	ARGM-ADV	_
this	ARG1	_
would	ARGM-MOD	_
be	_	_
like	_	_
having	ARG2	_
J.	_	_
Edgar	_	_
Hoover	_	_
unwittingly	_	_
employ	_	_
at	_	_
a	_	_
high	_	_
level	_	_
members	_	_
of	_	_
the	_	_
Weathermen	_	_
bombers	_	_
back	_	_
in	_	_
the	_	_
1960s	_	_
.	_	_
The	_	_
MoI	_	_
in	_	_
Iraq	_	_
is	_	_
equivalent	_	_
to	_	_
the	_	_
US	_	_
FBI	_	_
,	_	_
so	_	_
this	_	_
would	_	_
be	_	_
like	_	_
having	_	_
J.	_	_
Edgar	_	_
Hoover	_	_
unwittingly	_	_
employ	ARG1	_
at	_	_
a	_	_
high	_	_
level	_	_
members	_	_
of	_	_
the	_	_
Weathermen	_	_
bombers	_	_
back	_	_
in	_	_
the	_	_
1960s	_	_
.	_	_
The	_	_
MoI	_	_
in	_	_
Iraq	_	_
is	_	_
equivalent	_	_
to	_	_
the	_	_
US	_	_
FBI	_	_
,	_	_
so	_	_
this	_	_
would	_	_
be	_	_
like	_	_
having	_	_
J.	ARG0	_
Edgar	_	_
Hoover	_	_
unwittingly	ARGM-MNR	_
employ	_	_
at	_	_
a	_	_
high	_	_
level	ARGM-ADV	_
members	ARG1	_
of	_	_
the	_	_
Weathermen	_	_
bombers	_	_
back	ARGM-TMP	_
in	_	_
the	_	_
1960s	ARGM-TMP	_
.	_	_
The	_	_
third	_	_
was	_	_
being	_	_
run	_	_
by	_	_
the	_	_
head	_	_
of	_	_
an	_	_
investment	_	_
firm	_	_
.	_	_
The	_	_
third	_	_
was	_	_
being	_	_
run	_	_
by	_	_
the	_	_
head	_	_
of	_	_
an	_	_
investment	_	_
firm	_	_
.	_	_
The	_	_
third	ARG1	_
was	_	_
being	_	_
run	_	_
by	_	_
the	_	_
head	ARG0	_
of	_	_
an	_	_
investment	_	_
firm	_	_
.	_	_
You	ARG0	_
wonder	_	_
if	_	_
he	_	_
was	_	_
manipulating	ARG1	_
the	_	_
market	_	_
with	_	_
his	_	_
bombing	_	_
targets	_	_
.	_	_
You	_	_
wonder	_	_
if	_	_
he	_	_
was	_	_
manipulating	_	_
the	_	_
market	_	_
with	_	_
his	_	_
bombing	_	_
targets	_	_
.	_	_
You	_	_
wonder	_	_
if	_	_
he	ARG0	_
was	_	_
manipulating	_	_
the	_	_
market	ARG1	_
with	_	_
his	_	_
bombing	_	_
targets	ARGM-MNR	_
.	_	_
The	_	_
cells	_	_
were	_	_
operating	_	_
in	_	_
the	_	_
Ghazaliyah	_	_
and	_	_
al	_	_
-	_	_
Jihad	_	_
districts	_	_
of	_	_
the	_	_
capital	_	_
.	_	_
The	_	_
cells	ARG0	_
were	_	_
operating	_	_
in	_	_
the	_	_
Ghazaliyah	_	_
and	_	_
al	_	_
-	_	_
Jihad	_	_
districts	ARGM-LOC	_
of	_	_
the	_	_
capital	_	_
.	_	_
Although	_	_
the	_	_
announcement	_	_
was	_	_
probably	_	_
made	ARGM-LVB	_
to	_	_
show	_	_
progress	_	_
in	_	_
identifying	_	_
and	_	_
breaking	_	_
up	_	_
terror	_	_
cells	_	_
,	_	_
I	_	_
do	_	_
n't	_	_
find	_	_
the	_	_
news	_	_
that	_	_
the	_	_
Baathists	_	_
continue	_	_
to	_	_
penetrate	_	_
the	_	_
Iraqi	_	_
government	_	_
very	_	_
hopeful	_	_
.	_	_
Although	_	_
the	_	_
announcement	_	_
was	_	_
probably	_	_
made	_	_
to	_	_
show	_	_
progress	_	_
in	_	_
identifying	_	_
and	_	_
breaking	_	_
up	_	_
terror	_	_
cells	_	_
,	_	_
I	_	_
do	_	_
n't	_	_
find	_	_
the	_	_
news	_	_
that	_	_
the	_	_
Baathists	_	_
continue	_	_
to	_	_
penetrate	_	_
the	_	_
Iraqi	_	_
government	_	_
very	_	_
hopeful	_	_
.	_	_
Although	_	_
the	_	_
announcement	ARGM-PRR	_
was	_	_
probably	_	_
made	_	_
to	_	_
show	_	_
progress	_	_
in	_	_
identifying	_	_
and	_	_
breaking	_	_
up	_	_
terror	_	_
cells	_	_
,	_	_
I	_	_
do	_	_
n't	_	_
find	_	_
the	_	_
news	_	_
that	_	_
the	_	_
Baathists	_	_
continue	_	_
to	_	_
penetrate	_	_
the	_	_
Iraqi	_	_
government	_	_
very	_	_
hopeful	_	_
.	_	_
Although	_	_
the	_	_
announcement	ARG0	_
was	_	_
probably	_	_
made	_	_
to	_	_
show	_	_
progress	ARG1	_
in	_	_
identifying	_	_
and	_	_
breaking	_	_
up	_	_
terror	_	_
cells	_	_
,	_	_
I	_	_
do	_	_
n't	_	_
find	_	_
the	_	_
news	_	_
that	_	_
the	_	_
Baathists	_	_
continue	_	_
to	_	_
penetrate	_	_
the	_	_
Iraqi	_	_
government	_	_
very	_	_
hopeful	_	_
.	_	_
Although	_	_
the	_	_
announcement	_	_
was	_	_
probably	_	_
made	_	_
to	_	_
show	_	_
progress	_	_
in	_	_
identifying	ARG4	_
and	_	_
breaking	_	_
up	_	_
terror	_	_
cells	_	_
,	_	_
I	_	_
do	_	_
n't	_	_
find	_	_
the	_	_
news	_	_
that	_	_
the	_	_
Baathists	_	_
continue	_	_
to	_	_
penetrate	_	_
the	_	_
Iraqi	_	_
government	_	_
very	_	_
hopeful	_	_
.	_	_
Although	_	_
the	_	_
announcement	_	_
was	_	_
probably	_	_
made	_	_
to	_	_
show	_	_
progress	_	_
in	_	_
identifying	_	_
and	_	_
breaking	_	_
up	_	_
terror	_	_
cells	ARG1	_
,	_	_
I	_	_
do	_	_
n't	_	_
find	_	_
the	_	_
news	_	_
that	_	_
the	_	_
Baathists	_	_
continue	_	_
to	_	_
penetrate	_	_
the	_	_
Iraqi	_	_
government	_	_
very	_	_
hopeful	_	_
.	_	_
Although	_	_
the	_	_
announcement	_	_
was	_	_
probably	_	_
made	_	_
to	_	_
show	_	_
progress	_	_
in	_	_
identifying	_	_
and	_	_
breaking	_	_
up	_	_
terror	_	_
cells	ARG1	_
,	_	_
I	_	_
do	_	_
n't	_	_
find	_	_
the	_	_
news	_	_
that	_	_
the	_	_
Baathists	_	_
continue	_	_
to	_	_
penetrate	_	_
the	_	_
Iraqi	_	_
government	_	_
very	_	_
hopeful	_	_
.	_	_
Although	_	_
the	_	_
announcement	_	_
was	_	_
probably	_	_
made	_	_
to	_	_
show	_	_
progress	_	_
in	_	_
identifying	_	_
and	_	_
breaking	_	_
up	_	_
terror	_	_
cells	_	_
,	_	_
I	_	_
do	_	_
n't	_	_
find	_	_
the	_	_
news	_	_
that	_	_
the	_	_
Baathists	_	_
continue	_	_
to	_	_
penetrate	_	_
the	_	_
Iraqi	_	_
government	_	_
very	_	_
hopeful	_	_
.	_	_
Although	_	_
the	_	_
announcement	_	_
was	_	_
probably	_	_
made	ARGM-ADV	_
to	_	_
show	_	_
progress	_	_
in	_	_
identifying	_	_
and	_	_
breaking	_	_
up	_	_
terror	_	_
cells	_	_
,	_	_
I	ARG0	_
do	_	_
n't	ARGM-NEG	_
find	_	_
the	_	_
news	ARG1	_
that	_	_
the	_	_
Baathists	_	_
continue	_	_
to	_	_
penetrate	_	_
the	_	_
Iraqi	_	_
government	_	_
very	_	_
hopeful	ARG1	_
.	_	_
Although	_	_
the	_	_
announcement	_	_
was	_	_
probably	_	_
made	_	_
to	_	_
show	_	_
progress	_	_
in	_	_
identifying	_	_
and	_	_
breaking	_	_
up	_	_
terror	_	_
cells	_	_
,	_	_
I	_	_
do	_	_
n't	_	_
find	_	_
the	_	_
news	_	_
that	_	_
the	_	_
Baathists	ARG0	_
continue	_	_
to	_	_
penetrate	ARG1	_
the	_	_
Iraqi	_	_
government	_	_
very	_	_
hopeful	_	_
.	_	_
Although	_	_
the	_	_
announcement	_	_
was	_	_
probably	_	_
made	_	_
to	_	_
show	_	_
progress	_	_
in	_	_
identifying	_	_
and	_	_
breaking	_	_
up	_	_
terror	_	_
cells	_	_
,	_	_
I	_	_
do	_	_
n't	_	_
find	_	_
the	_	_
news	_	_
that	_	_
the	_	_
Baathists	ARG0	_
continue	_	_
to	_	_
penetrate	_	_
the	_	_
Iraqi	_	_
government	ARG1	_
very	_	_
hopeful	_	_
.	_	_
It	ARG0	_
reminds	_	_
me	ARG2	_
too	_	_
much	ARGM-EXT	_
of	_	_
the	_	_
ARVN	_	_
officers	ARG1	_
who	_	_
were	_	_
secretly	_	_
working	_	_
for	_	_
the	_	_
other	_	_
side	_	_
in	_	_
Vietnam	_	_
.	_	_
It	_	_
reminds	_	_
me	_	_
too	_	_
much	_	_
of	_	_
the	_	_
ARVN	_	_
officers	_	_
who	_	_
were	_	_
secretly	_	_
working	_	_
for	_	_
the	_	_
other	_	_
side	_	_
in	_	_
Vietnam	_	_
.	_	_
It	_	_
reminds	_	_
me	_	_
too	_	_
much	_	_
of	_	_
the	_	_
ARVN	_	_
officers	ARG0	_
who	R-ARG0	_
were	_	_
secretly	ARGM-MNR	_
working	_	_
for	_	_
the	_	_
other	_	_
side	ARG2	_
in	_	_
Vietnam	ARGM-LOC	_
.	_	_
It	_	_
reminds	_	_
me	_	_
too	_	_
much	_	_
of	_	_
the	_	_
ARVN	_	_
officers	_	_
who	_	_
were	_	_
secretly	_	_
working	_	_
for	_	_
the	_	_
other	ARGM-ADJ	_
side	_	_
in	_	_
Vietnam	_	_
.	_	_
Al	_	_
-	_	_
Zaman	_	_
:	_	_
Guerrillas	ARG0	_
killed	_	_
a	_	_
member	ARG1	_
of	_	_
the	_	_
Kurdistan	_	_
Democratic	_	_
Party	_	_
after	_	_
kidnapping	ARGM-TMP	_
him	_	_
in	_	_
Mosul	_	_
.	_	_
Al	_	_
-	_	_
Zaman	_	_
:	_	_
Guerrillas	_	_
killed	_	_
a	_	_
member	_	_
of	_	_
the	_	_
Kurdistan	_	_
Democratic	_	_
Party	_	_
after	_	_
kidnapping	_	_
him	ARG1	_
in	_	_
Mosul	ARGM-LOC	_
.	_	_
The	_	_
police	_	_
commander	ARG0	_
of	_	_
Ninevah	_	_
Province	_	_
announced	_	_
that	_	_
bombings	_	_
had	_	_
declined	ARG1	_
80	_	_
percent	_	_
in	_	_
Mosul	_	_
,	_	_
whereas	_	_
there	_	_
had	_	_
been	_	_
a	_	_
big	_	_
jump	_	_
in	_	_
the	_	_
number	_	_
of	_	_
kidnappings	_	_
.	_	_
The	_	_
police	_	_
commander	_	_
of	_	_
Ninevah	_	_
Province	_	_
announced	_	_
that	_	_
bombings	_	_
had	_	_
declined	_	_
80	_	_
percent	_	_
in	_	_
Mosul	_	_
,	_	_
whereas	_	_
there	_	_
had	_	_
been	_	_
a	_	_
big	_	_
jump	_	_
in	_	_
the	_	_
number	_	_
of	_	_
kidnappings	_	_
.	_	_
The	_	_
police	_	_
commander	_	_
of	_	_
Ninevah	_	_
Province	_	_
announced	_	_
that	_	_
bombings	_	_
had	_	_
declined	_	_
80	_	_
percent	_	_
in	_	_
Mosul	_	_
,	_	_
whereas	_	_
there	_	_
had	_	_
been	_	_
a	_	_
big	_	_
jump	_	_
in	_	_
the	_	_
number	_	_
of	_	_
kidnappings	_	_
.	_	_
The	_	_
police	_	_
commander	_	_
of	_	_
Ninevah	_	_
Province	_	_
announced	_	_
that	_	_
bombings	ARG1	_
had	_	_
declined	_	_
80	_	_
percent	ARG2	_
in	_	_
Mosul	ARGM-LOC	_
,	_	_
whereas	_	_
there	_	_
had	_	_
been	ARGM-ADV	_
a	_	_
big	_	_
jump	_	_
in	_	_
the	_	_
number	_	_
of	_	_
kidnappings	_	_
.	_	_
The	_	_
police	_	_
commander	_	_
of	_	_
Ninevah	_	_
Province	_	_
announced	_	_
that	_	_
bombings	_	_
had	_	_
declined	_	_
80	_	_
percent	_	_
in	_	_
Mosul	_	_
,	_	_
whereas	_	_
there	_	_
had	_	_
been	_	_
a	_	_
big	_	_
jump	_	_
in	_	_
the	_	_
number	_	_
of	_	_
kidnappings	_	_
.	_	_
The	_	_
police	_	_
commander	_	_
of	_	_
Ninevah	_	_
Province	_	_
announced	_	_
that	_	_
bombings	_	_
had	_	_
declined	_	_
80	_	_
percent	_	_
in	_	_
Mosul	_	_
,	_	_
whereas	_	_
there	_	_
had	_	_
been	_	_
a	_	_
big	_	_
jump	ARG1	_
in	_	_
the	_	_
number	_	_
of	_	_
kidnappings	_	_
.	_	_
The	_	_
police	_	_
commander	_	_
of	_	_
Ninevah	_	_
Province	_	_
announced	_	_
that	_	_
bombings	_	_
had	_	_
declined	_	_
80	_	_
percent	_	_
in	_	_
Mosul	_	_
,	_	_
whereas	_	_
there	_	_
had	_	_
been	_	_
a	_	_
big	ARG2	_
jump	_	_
in	_	_
the	_	_
number	ARG1	_
of	_	_
kidnappings	_	_
.	_	_
On	_	_
Wednesday	_	_
guerrillas	_	_
had	_	_
kidnapped	_	_
a	_	_
cosmetic	_	_
surgeon	_	_
and	_	_
his	_	_
wife	_	_
while	_	_
they	_	_
were	_	_
on	_	_
their	_	_
way	_	_
home	_	_
.	_	_
On	_	_
Wednesday	ARGM-TMP	_
guerrillas	ARG0	_
had	_	_
kidnapped	_	_
a	_	_
cosmetic	_	_
surgeon	ARG1	_
and	_	_
his	_	_
wife	_	_
while	_	_
they	_	_
were	_	_
on	_	_
their	_	_
way	ARGM-TMP	_
home	_	_
.	_	_
On	_	_
Wednesday	_	_
guerrillas	_	_
had	_	_
kidnapped	_	_
a	_	_
cosmetic	_	_
surgeon	_	_
and	_	_
his	_	_
wife	_	_
while	_	_
they	ARG1	_
were	_	_
on	_	_
their	_	_
way	ARG2	_
home	_	_
.	_	_
On	_	_
Wednesday	_	_
guerrillas	_	_
had	_	_
kidnapped	_	_
a	_	_
cosmetic	_	_
surgeon	_	_
and	_	_
his	_	_
wife	_	_
while	_	_
they	_	_
were	_	_
on	_	_
their	ARG0	_
way	_	_
home	ARG1	_
.	_	_
In	_	_
Suwayrah	_	_
,	_	_
Kut	_	_
Province	_	_
,	_	_
two	_	_
car	_	_
bombs	_	_
were	_	_
discovered	_	_
before	_	_
they	_	_
could	_	_
be	_	_
detonated	_	_
.	_	_
In	_	_
Suwayrah	ARGM-LOC	_
,	_	_
Kut	_	_
Province	_	_
,	_	_
two	_	_
car	_	_
bombs	ARG1	_
were	_	_
discovered	_	_
before	_	_
they	_	_
could	_	_
be	_	_
detonated	ARGM-TMP	_
.	_	_
In	_	_
Suwayrah	_	_
,	_	_
Kut	_	_
Province	_	_
,	_	_
two	_	_
car	_	_
bombs	_	_
were	_	_
discovered	_	_
before	_	_
they	_	_
could	_	_
be	_	_
detonated	_	_
.	_	_
In	_	_
Suwayrah	_	_
,	_	_
Kut	_	_
Province	_	_
,	_	_
two	_	_
car	_	_
bombs	_	_
were	_	_
discovered	_	_
before	_	_
they	ARG1	_
could	ARGM-MOD	_
be	_	_
detonated	_	_
.	_	_
(	_	_
Kut	ARG1	_
is	_	_
in	_	_
southeastern	_	_
Iraq	ARG2	_
and	_	_
has	_	_
an	_	_
overwhelmingly	_	_
Shiite	_	_
population	_	_
,	_	_
who	_	_
are	_	_
on	_	_
the	_	_
lookout	_	_
for	_	_
Baathist	_	_
saboteurs	_	_
and	_	_
willingly	_	_
turn	_	_
them	_	_
in	_	_
.	_	_
(	_	_
Kut	ARG0	_
is	_	_
in	_	_
southeastern	_	_
Iraq	_	_
and	_	_
has	_	_
an	_	_
overwhelmingly	_	_
Shiite	_	_
population	ARG1	_
,	_	_
who	_	_
are	_	_
on	_	_
the	_	_
lookout	_	_
for	_	_
Baathist	_	_
saboteurs	_	_
and	_	_
willingly	_	_
turn	_	_
them	_	_
in	_	_
.	_	_
(	_	_
Kut	_	_
is	_	_
in	_	_
southeastern	_	_
Iraq	_	_
and	_	_
has	_	_
an	_	_
overwhelmingly	_	ARG0
Shiite	ARG2	_
population	_	_
,	_	_
who	_	_
are	_	_
on	_	_
the	_	_
lookout	ARGM-ADJ	_
for	_	_
Baathist	_	_
saboteurs	_	_
and	_	_
willingly	_	_
turn	_	_
them	_	_
in	_	_
.	_	_
(	_	_
Kut	_	_
is	_	_
in	_	_
southeastern	_	_
Iraq	_	_
and	_	_
has	_	_
an	_	_
overwhelmingly	_	_
Shiite	_	_
population	ARG1	_
,	_	_
who	R-ARG1	_
are	_	_
on	_	_
the	_	_
lookout	ARG2	_
for	_	_
Baathist	_	_
saboteurs	_	_
and	_	_
willingly	_	_
turn	_	_
them	_	_
in	_	_
.	_	_
(	_	_
Kut	_	_
is	_	_
in	_	_
southeastern	_	_
Iraq	_	_
and	_	_
has	_	_
an	_	_
overwhelmingly	_	_
Shiite	_	_
population	ARG0	_
,	_	_
who	R-ARG0	_
are	_	_
on	_	_
the	_	_
lookout	_	_
for	_	_
Baathist	_	_
saboteurs	_	_
and	_	_
willingly	ARGM-MNR	_
turn	_	_
them	ARG1	_
in	C-V	_
.	_	_
This	_	_
willingness	ARG1	_
is	_	_
the	_	_
main	_	_
difference	ARG2	_
in	_	_
the	_	_
number	_	_
of	_	_
bombings	_	_
in	_	_
the	_	_
south	_	_
as	_	_
opposed	_	_
to	_	_
the	_	_
center	_	_
-	_	_
north	ARGM-ADV	_
of	_	_
the	_	_
country	_	_
.	_	_
)	_	_
This	_	_
willingness	_	_
is	_	_
the	_	_
main	ARGM-ADJ	_
difference	_	_
in	_	_
the	_	_
number	ARG3	_
of	_	_
bombings	_	_
in	_	_
the	_	_
south	_	_
as	_	_
opposed	_	_
to	_	_
the	_	_
center	_	_
-	_	_
north	_	_
of	_	_
the	_	_
country	_	_
.	_	_
)	_	_
This	_	_
willingness	_	_
is	_	_
the	_	_
main	_	_
difference	_	_
in	_	_
the	_	_
number	_	_
of	_	_
bombings	_	_
in	_	_
the	_	_
south	ARGM-LOC	_
as	_	_
opposed	_	_
to	_	_
the	_	_
center	_	_
-	_	_
north	_	_
of	_	_
the	_	_
country	_	_
.	_	_
)	_	_
This	_	_
willingness	_	_
is	_	_
the	_	_
main	_	_
difference	_	_
in	_	_
the	_	_
number	_	_
of	_	_
bombings	_	_
in	_	_
the	_	_
south	_	_
as	_	_
opposed	_	_
to	ARG1	_
the	_	_
center	_	_
-	_	_
north	ARG1	_
of	_	_
the	_	_
country	_	_
.	_	_
)	_	_
In	_	_
Baghdad	_	_
Kadhim	_	_
Talal	_	_
Husain	_	_
,	_	_
assistant	_	_
dean	_	_
at	_	_
the	_	_
School	_	_
of	_	_
Education	_	_
at	_	_
Mustansiriyah	_	_
University	_	_
,	_	_
was	_	_
assassinated	_	_
with	_	_
his	_	_
driver	_	_
in	_	_
the	_	_
Salikh	_	_
district	_	_
.	_	_
In	_	_
Baghdad	ARGM-LOC	_
Kadhim	ARG1	_
Talal	_	_
Husain	_	_
,	_	_
assistant	_	_
dean	_	_
at	_	_
the	_	_
School	_	_
of	_	_
Education	_	_
at	_	_
Mustansiriyah	_	_
University	_	_
,	_	_
was	_	_
assassinated	_	_
with	_	_
his	_	_
driver	ARGM-COM	_
in	_	_
the	_	_
Salikh	_	_
district	ARGM-LOC	_
.	_	_
Guerrillas	ARG0	_
killed	_	_
an	_	_
engineer	ARG1	_
,	_	_
Asi	_	_
Ali	_	_
,	_	_
from	_	_
Tikrit	_	_
.	_	_
They	ARG0	_
also	ARGM-DIS	_
killed	_	_
Shaikh	ARG1	_
Hamid	_	_
'Akkab	_	_
,	_	_
a	_	_
clan	_	_
elder	_	_
of	_	_
a	_	_
branch	_	_
of	_	_
the	_	_
Dulaim	_	_
tribe	_	_
in	_	_
Tikrit	ARGM-LOC	_
.	_	_
His	_	_
mother	_	_
was	_	_
also	_	_
killed	_	_
in	_	_
the	_	_
attack	_	_
.	_	_
His	_	_
mother	ARG1	_
was	_	_
also	ARGM-DIS	_
killed	_	_
in	_	_
the	_	_
attack	ARGM-CAU	_
.	_	_
His	_	_
mother	_	_
was	_	_
also	_	_
killed	_	_
in	_	_
the	_	_
attack	_	_
.	_	_
Two	_	_
other	_	_
Dulaim	_	_
leaders	_	_
have	_	_
been	_	_
killed	_	_
in	_	_
the	_	_
past	_	_
week	_	_
and	_	_
a	_	_
half	_	_
.	_	_
Two	_	_
other	_	_
Dulaim	_	_
leaders	_	_
have	_	_
been	_	_
killed	_	_
in	_	_
the	_	_
past	_	_
week	_	_
and	_	_
a	_	_
half	_	_
.	_	_
Two	_	_
other	_	_
Dulaim	_	_
leaders	ARG1	_
have	_	_
been	_	_
killed	_	_
in	_	_
the	_	_
past	_	_
week	ARGM-TMP	_
and	_	_
a	_	_
half	_	_
.	_	_
Guerrillas	ARG0	_
near	_	_
Hawijah	_	_
launched	_	_
an	_	_
attack	ARG1	_
that	_	_
left	_	_
6	_	_
dead	_	_
,	_	_
including	_	_
4	_	_
Iraqi	_	_
soldiers	_	_
.	_	_
Guerrillas	_	_
near	_	_
Hawijah	_	_
launched	_	_
an	_	_
attack	_	_
that	_	_
left	ARGM-ADJ	_
6	_	_
dead	_	_
,	_	_
including	_	_
4	_	_
Iraqi	_	_
soldiers	_	_
.	_	_
Guerrillas	_	_
near	_	_
Hawijah	_	_
launched	_	_
an	_	_
attack	ARG0	_
that	R-ARG0	_
left	_	_
6	ARG1	_
dead	ARG1	_
,	_	_
including	_	_
4	_	_
Iraqi	_	_
soldiers	ARGM-ADV	_
.	_	_
One	ARG1	_
of	_	_
them	_	_
was	_	_
from	_	_
the	_	_
Jubur	ARG2	_
tribe	_	_
and	_	_
was	_	_
deputy	_	_
commander	_	_
of	_	_
the	_	_
Hawijah	_	_
garrison	_	_
.	_	_
One	ARG1	_
of	_	_
them	_	_
was	_	_
from	_	_
the	_	_
Jubur	_	_
tribe	_	_
and	_	_
was	_	_
deputy	_	_
commander	ARG2	_
of	_	_
the	_	_
Hawijah	_	_
garrison	_	_
.	_	_
Two	_	_
hundred	_	_
members	ARG0	_
of	_	_
the	_	_
Batawi	_	_
clan	_	_
of	_	_
the	_	_
Dulaim	_	_
demonstrated	_	_
in	_	_
Baghdad	ARGM-LOC	_
on	_	_
Friday	ARGM-TMP	_
,	_	_
protesting	ARG1	_
the	_	_
killing	_	_
of	_	_
their	_	_
clan	_	_
elder	_	_
,	_	_
Shaikh	_	_
Kadhim	_	_
Sarhid	_	_
and	_	_
4	_	_
of	_	_
his	_	_
sons	_	_
,	_	_
by	_	_
gunmen	_	_
wearing	_	_
Iraqi	_	_
army	_	_
uniforms	_	_
.	_	_
Two	_	_
hundred	_	_
members	ARG0	_
of	_	_
the	_	_
Batawi	_	_
clan	_	_
of	_	_
the	_	_
Dulaim	_	_
demonstrated	_	_
in	_	_
Baghdad	_	_
on	_	_
Friday	_	_
,	_	_
protesting	_	_
the	_	_
killing	ARG1	_
of	_	_
their	_	_
clan	_	_
elder	_	_
,	_	_
Shaikh	_	_
Kadhim	_	_
Sarhid	_	_
and	_	_
4	_	_
of	_	_
his	_	_
sons	_	_
,	_	_
by	_	_
gunmen	_	_
wearing	_	_
Iraqi	_	_
army	_	_
uniforms	_	_
.	_	_
Two	_	_
hundred	_	_
members	_	_
of	_	_
the	_	_
Batawi	_	_
clan	_	_
of	_	_
the	_	_
Dulaim	_	_
demonstrated	_	_
in	_	_
Baghdad	_	_
on	_	_
Friday	_	_
,	_	_
protesting	_	_
the	_	_
killing	_	_
of	_	_
their	_	_
clan	_	_
elder	ARG1	_
,	_	_
Shaikh	_	_
Kadhim	_	_
Sarhid	_	_
and	_	_
4	_	_
of	_	_
his	_	_
sons	_	_
,	_	_
by	_	_
gunmen	ARG0	_
wearing	_	_
Iraqi	_	_
army	_	_
uniforms	_	_
.	_	_
Two	_	_
hundred	_	_
members	_	_
