word	gold	pred1	predict
but	_	False	_
it	_	False	_
's	_	False	_
particularly	_	False	_
well	_	False	_
-	_	False	_
put	_	False	_
in	_	False	_
this	_	False	_
post	_	False	_
.	_	False	_
This	_	False	_
BuzzMachine	_	False	_
post	_	False	_
argues	_	False	_
that	_	False	_
Google	_	False	_
's	_	False	_
rush	_	False	_
toward	_	False	_
ubiquity	_	False	_
might	_	False	_
backfire	_	False	_
--	_	False	_
which	_	False	_
we	_	False	_
've	_	False	_
all	_	False	_
heard	_	False	_
before	_	False	_
,	_	False	_
but	_	False	_
it	_	False	_
's	_	False	_
particularly	_	False	_
well	_	False	_
-	_	False	_
put	_	False	_
in	_	False	_
this	_	False	_
post	_	False	_
.	_	False	_
This	_	False	_
BuzzMachine	_	False	_
post	_	False	_
argues	_	False	_
that	_	False	_
Google	_	False	_
's	_	False	_
rush	_	False	_
toward	_	False	_
ubiquity	_	False	_
might	_	False	_
backfire	_	False	_
--	_	False	_
which	ARG1	False	_
we	ARG0	False	_
've	_	False	_
all	ARGM-ADV	False	_
heard	_	False	_
before	ARGM-TMP	False	_
,	_	False	_
but	_	False	_
it	_	False	_
's	_	False	_
particularly	_	False	_
well	_	False	_
-	_	False	_
put	_	False	_
in	_	False	_
this	_	False	_
post	_	False	_
.	_	False	_
This	_	False	_
BuzzMachine	_	False	_
post	_	False	_
argues	_	False	_
that	_	False	_
Google	_	False	_
's	_	False	_
rush	_	False	_
toward	_	False	_
ubiquity	_	False	_
might	_	False	_
backfire	_	False	_
--	_	False	_
which	_	False	_
we	_	False	_
've	_	False	_
all	_	False	_
heard	_	False	_
before	_	False	_
,	_	False	_
but	_	False	_
it	ARG1	False	_
's	_	False	_
particularly	ARGM-ADV	False	_
well	_	False	_
-	_	False	_
put	ARG2	False	_
in	_	False	_
this	_	False	_
post	ARGM-LOC	False	_
.	_	False	_
This	_	False	_
BuzzMachine	_	False	_
post	_	False	_
argues	_	False	_
that	_	False	_
Google	_	False	_
's	_	False	_
rush	_	False	_
toward	_	False	_
ubiquity	_	False	_
might	_	False	_
backfire	_	False	_
--	_	False	_
which	_	False	_
we	_	False	_
've	_	False	_
all	_	False	_
heard	_	False	_
before	_	False	_
,	_	False	_
but	_	False	_
it	_	False	_
's	_	False	_
particularly	_	False	_
well	_	False	_
-	_	False	_
put	_	False	_
in	_	False	_
this	_	False	_
post	_	False	_
.	_	False	_
Google	ARG1	False	_
is	_	False	_
a	_	False	_
nice	_	False	_
search	_	False	_
engine	ARG2	False	_
.	_	False	_
Does	_	False	_
anybody	_	False	_
use	_	False	_
it	_	False	_
for	_	False	_
anything	_	False	_
else	_	False	_
?	_	False	_
Does	_	False	_
anybody	ARG0	False	_
use	_	False	_
it	ARG1	False	_
for	_	False	_
anything	ARG2	False	_
else	_	False	_
?	_	False	_
They	ARG0	False	_
own	_	False	_
blogger	ARG1	False	_
,	_	False	_
of	ARGM-ADV	False	_
course	_	False	_
.	_	False	_
Is	_	False	_
that	ARG1	False	_
a	_	False	_
money	_	False	_
maker	ARG2	False	_
?	_	False	_
I	_	False	_
'm	_	False	_
staying	_	False	_
away	_	False	_
from	_	False	_
the	_	False	_
stock	_	False	_
.	_	False	_
I	ARG1	False	_
'm	_	False	_
staying	_	False	_
away	ARG3	False	_
from	_	False	_
the	_	False	_
stock	_	False	_
.	_	False	_
I	ARG0	False	_
doubt	_	False	_
the	_	False	_
very	_	False	_
few	_	False	_
who	_	False	_
actually	_	False	_
read	_	False	_
my	_	False	_
blog	_	False	_
have	_	False	_
not	_	False	_
come	ARG1	False	_
across	_	False	_
this	_	False	_
yet	_	False	_
,	_	False	_
but	_	False	_
I	_	False	_
figured	_	False	_
I	_	False	_
would	_	False	_
put	_	False	_
it	_	False	_
out	_	False	_
there	_	False	_
anyways	_	False	_
.	_	False	_
I	_	False	_
doubt	_	False	_
the	_	False	_
very	_	False	_
few	ARG0	False	_
who	R-ARG0	False	_
actually	ARGM-ADV	False	_
read	_	False	_
my	_	False	_
blog	ARG1	False	_
have	_	False	_
not	_	False	_
come	_	False	_
across	_	False	_
this	_	False	_
yet	_	False	_
,	_	False	_
but	_	False	_
I	_	False	_
figured	_	False	_
I	_	False	_
would	_	False	_
put	_	False	_
it	_	False	_
out	_	False	_
there	_	False	_
anyways	_	False	_
.	_	False	_
I	_	False	_
doubt	_	False	_
the	_	False	_
very	_	False	_
few	_	False	_
who	_	False	_
actually	_	False	_
read	_	False	_
my	_	False	_
blog	_	False	_
have	_	False	_
not	_	False	_
come	_	False	_
across	_	False	_
this	_	False	_
yet	_	False	_
,	_	False	_
but	_	False	_
I	_	False	_
figured	_	False	_
I	_	False	_
would	_	False	_
put	_	False	_
it	_	False	_
out	_	False	_
there	_	False	_
anyways	_	False	_
.	_	False	_
I	_	False	_
doubt	_	False	_
the	_	False	_
very	_	False	_
few	ARG0	False	_
who	_	False	_
actually	_	False	_
read	_	False	_
my	_	False	_
blog	_	False	_
have	_	False	_
not	ARGM-NEG	False	_
come	_	False	_
across	_	False	_
this	ARG1	False	_
yet	ARGM-TMP	False	_
,	_	False	_
but	_	False	_
I	_	False	_
figured	_	False	_
I	_	False	_
would	_	False	_
put	_	False	_
it	_	False	_
out	_	False	_
there	_	False	_
anyways	_	False	_
.	_	False	_
I	_	False	_
doubt	_	False	_
the	_	False	_
very	_	False	_
few	_	False	_
who	_	False	_
actually	_	False	_
read	_	False	_
my	_	False	_
blog	_	False	_
have	_	False	_
not	_	False	_
come	_	False	_
across	_	False	_
this	_	False	_
yet	_	False	_
,	_	False	_
but	_	False	_
I	ARG0	False	_
figured	_	False	_
I	_	False	_
would	_	False	_
put	ARG1	False	_
it	_	False	_
out	_	False	_
there	_	False	_
anyways	_	False	_
.	_	False	_
I	_	False	_
doubt	_	False	_
the	_	False	_
very	_	False	_
few	_	False	_
who	_	False	_
actually	_	False	_
read	_	False	_
my	_	False	_
blog	_	False	_
have	_	False	_
not	_	False	_
come	_	False	_
across	_	False	_
this	_	False	_
yet	_	False	_
,	_	False	_
but	_	False	_
I	_	False	_
figured	_	False	_
I	ARG0	False	_
would	ARGM-MOD	False	_
put	_	False	_
it	ARG1	False	_
out	_	False	_
there	ARG2	False	_
anyways	ARGM-ADV	False	_
.	_	False	_
John	_	False	_
Donovan	_	False	_
from	_	False	_
Argghhh!	_	False	_
has	_	False	_
put	_	False	_
out	_	False	_
a	_	False	_
excellent	_	False	_
slide	_	False	_
show	_	False	_
on	_	False	_
what	_	False	_
was	_	False	_
actually	_	False	_
found	_	False	_
and	_	False	_
fought	_	False	_
for	_	False	_
in	_	False	_
Fallujah	_	False	_
.	_	False	_
John	ARG0	False	_
Donovan	_	False	_
from	_	False	_
Argghhh!	_	False	_
has	_	False	_
put	_	False	_
out	_	False	_
a	_	False	_
excellent	_	False	_
slide	_	False	_
show	ARG1	False	_
on	_	False	_
what	_	False	_
was	_	False	_
actually	_	False	_
found	_	False	_
and	_	False	_
fought	_	False	_
for	_	False	_
in	_	False	_
Fallujah	_	False	_
.	_	False	_
John	_	False	_
Donovan	_	False	_
from	_	False	_
Argghhh!	_	False	_
has	_	False	_
put	_	False	_
out	_	False	_
a	_	False	_
excellent	ARGM-ADJ	False	_
slide	ARG3	False	_
show	_	False	_
on	_	False	_
what	ARG1	False	_
was	_	False	_
actually	_	False	_
found	_	False	_
and	_	False	_
fought	_	False	_
for	_	False	_
in	_	False	_
Fallujah	_	False	_
.	_	False	_
John	_	False	_
Donovan	_	False	_
from	_	False	_
Argghhh!	_	False	_
has	_	False	_
put	_	False	_
out	_	False	_
a	_	False	_
excellent	_	False	_
slide	_	False	_
show	_	False	_
on	_	False	_
what	_	False	_
was	_	False	_
actually	_	False	_
found	_	False	_
and	_	False	_
fought	_	False	_
for	_	False	_
in	_	False	_
Fallujah	_	False	_
.	_	False	_
John	_	False	_
Donovan	_	False	_
from	_	False	_
Argghhh!	_	False	_
has	_	False	_
put	_	False	_
out	_	False	_
a	_	False	_
excellent	_	False	_
slide	_	False	_
show	_	False	_
on	_	False	_
what	ARG1	False	_
was	_	False	_
actually	ARGM-ADV	False	_
found	_	False	_
and	_	False	_
fought	_	False	_
for	_	False	_
in	_	False	_
Fallujah	ARGM-LOC	False	_
.	_	False	_
John	_	False	_
Donovan	_	False	_
from	_	False	_
Argghhh!	_	False	_
has	_	False	_
put	_	False	_
out	_	False	_
a	_	False	_
excellent	_	False	_
slide	_	False	_
show	_	False	_
on	_	False	_
what	ARG0	False	_
was	_	False	_
actually	_	False	_
found	_	False	_
and	_	False	_
fought	_	False	_
for	ARG2	False	_
in	_	False	_
Fallujah	ARGM-LOC	False	_
.	_	False	_
Click	_	False	_
here	ARGM-GOL	False	_
To	_	False	_
view	ARGM-PRP	False	_
it	_	False	_
.	_	False	_
Click	_	False	_
here	_	False	_
To	_	False	_
view	_	False	_
it	ARG1	False	_
.	_	False	_
He	_	False	_
makes	_	False	_
some	_	False	_
good	_	False	_
observations	ARGM-PRR	False	_
on	_	False	_
a	_	False	_
few	_	False	_
of	_	False	_
the	_	False	_
pic's	_	False	_
.	_	False	_
He	ARG0	False	_
makes	ARGM-LVB	False	_
some	_	False	_
good	ARGM-ADJ	False	_
observations	_	False	_
on	_	False	_
a	_	False	_
few	ARG1	False	_
of	_	False	_
the	_	False	_
pic's	_	False	_
.	_	False	_
One	ARG0	False	_
of	_	False	_
the	_	False	_
pictures	_	False	_
shows	_	False	_
a	_	False	_
flag	ARG1	False	_
that	_	False	_
was	_	False	_
found	_	False	_
in	_	False	_
Fallujah	_	False	_
.	_	False	_
One	_	False	_
of	_	False	_
the	_	False	_
pictures	_	False	_
shows	_	False	_
a	_	False	_
flag	_	False	_
that	_	False	_
was	_	False	_
found	_	False	_
in	_	False	_
Fallujah	_	False	_
.	_	False	_
One	_	False	_
of	_	False	_
the	_	False	_
pictures	_	False	_
shows	_	False	_
a	_	False	_
flag	ARG1	False	_
that	R-ARG1	False	_
was	_	False	_
found	_	False	_
in	_	False	_
Fallujah	ARGM-LOC	False	_
.	_	False	_
On	_	False	_
the	_	False	_
next	_	False	_
two	_	False	_
pictures	_	False	_
he	_	False	_
took	_	False	_
screenshots	ARGM-PRR	False	_
of	_	False	_
two	_	False	_
beheading	_	False	_
video's	_	False	_
.	_	False	_
On	_	False	_
the	_	False	_
next	_	False	_
two	_	False	_
pictures	ARGM-LOC	False	_
he	ARG0	False	_
took	ARGM-LVB	False	_
screenshots	_	False	_
of	_	False	_
two	_	False	_
beheading	_	False	_
video's	ARG1	False	_
.	_	False	_
Compare	_	False	_
the	_	False	_
flags	ARG1	False	_
to	_	False	_
the	_	False	_
Fallujah	_	False	_
one	ARG2	True	ARG2
.	_	False	_
You	_	False	_
have	_	False	_
to	_	False	_
see	_	False	_
these	_	False	_
slides	_	False	_
....	_	False	_
they	_	False	_
are	_	False	_
amazing	_	True	ARG2
.	_	False	_
You	ARG0	False	_
have	_	False	_
to	_	False	_
see	_	False	_
these	_	False	_
slides	ARG1	False	_
....	_	False	_
they	_	False	_
are	_	False	_
amazing	_	True	ARG2
.	_	False	_
You	_	False	_
have	_	False	_
to	_	False	_
see	_	False	_
these	_	False	_
slides	_	False	_
....	_	False	_
they	ARG1	False	_
are	_	False	_
amazing	ARG2	True	ARG2
.	_	False	_
You	_	False	_
have	_	False	_
to	_	False	_
see	_	False	_
these	_	False	_
slides	_	False	_
....	_	False	_
they	ARG0	False	_
are	_	False	_
amazing	_	False	_
.	_	False	_
This	_	False	_
Fallujah	ARGM-LOC	False	_
operation	_	False	_
my	_	False	_
turn	_	False	_
out	_	False	_
to	_	False	_
be	_	False	_
the	_	False	_
most	_	False	_
important	_	False	_
operation	_	False	_
done	_	False	_
by	_	False	_
the	_	False	_
US	_	False	_
Military	_	False	_
since	_	False	_
the	_	False	_
end	_	False	_
of	_	False	_
the	_	False	_
war	_	False	_
.	_	False	_
This	_	False	_
Fallujah	_	False	_
operation	ARG1	False	_
my	ARGM-MOD	False	_
turn	_	False	_
out	_	False	_
to	_	False	_
be	_	False	_
the	_	False	_
most	_	False	_
important	_	False	_
operation	ARG2	False	_
done	_	False	_
by	_	False	_
the	_	False	_
US	_	False	_
Military	_	False	_
since	_	False	_
the	_	False	_
end	_	False	_
of	_	False	_
the	_	False	_
war	_	False	_
.	_	False	_
This	_	False	_
Fallujah	_	False	_
operation	ARG1	False	_
my	_	False	_
turn	_	False	_
out	_	False	_
to	_	False	_
be	_	False	_
the	_	False	_
most	_	False	_
important	_	False	_
operation	ARG2	False	_
done	_	False	_
by	_	False	_
the	_	False	_
US	_	False	_
Military	_	False	_
since	_	False	_
the	_	False	_
end	_	False	_
of	_	False	_
the	_	False	_
war	_	False	_
.	_	False	_
This	_	False	_
Fallujah	_	False	_
operation	_	False	_
my	_	False	_
turn	_	False	_
out	_	False	_
to	_	False	_
be	_	False	_
the	_	False	_
most	_	False	_
important	ARGM-ADJ	False	_
operation	_	False	_
done	ARGM-PRD	False	_
by	_	False	_
the	_	False	_
US	_	False	_
Military	_	False	_
since	_	False	_
the	_	False	_
end	_	False	_
of	_	False	_
the	_	False	_
war	_	False	_
.	_	False	_
This	_	False	_
Fallujah	_	False	_
operation	_	False	_
my	_	False	_
turn	_	False	_
out	_	False	_
to	_	False	_
be	_	False	_
the	_	False	_
most	_	False	_
important	_	False	_
operation	ARG1	False	_
done	_	False	_
by	_	False	_
the	_	False	_
US	_	False	_
Military	ARG0	False	_
since	_	False	_
the	_	False	_
end	ARGM-TMP	False	_
of	_	False	_
the	_	False	_
war	_	False	_
.	_	False	_
This	_	False	_
Fallujah	_	False	_
operation	_	False	_
my	_	False	_
turn	_	False	_
out	_	False	_
to	_	False	_
be	_	False	_
the	_	False	_
most	_	False	_
important	_	False	_
operation	_	False	_
done	_	False	_
by	_	False	_
the	_	False	_
US	_	False	_
Military	_	False	_
since	_	False	_
the	_	False	_
end	_	False	_
of	_	False	_
the	_	False	_
war	ARG1	False	_
.	_	False	_
This	_	False	_
Fallujah	_	False	_
operation	_	False	_
my	_	False	_
turn	_	False	_
out	_	False	_
to	_	False	_
be	_	False	_
the	_	False	_
most	_	False	_
important	_	False	_
operation	_	False	_
done	_	False	_
by	_	False	_
the	_	False	_
US	_	False	_
Military	_	False	_
since	_	False	_
the	_	False	_
end	_	False	_
of	_	False	_
the	_	False	_
war	_	False	_
.	_	False	_
Let	_	False	_
me	ARG1	False	_
join	ARG1	False	_
the	_	False	_
chorus	_	False	_
of	_	False	_
annoyance	_	False	_
over	_	False	_
Google	_	False	_
's	_	False	_
new	_	False	_
toolbar	_	False	_
,	_	False	_
which	_	False	_
,	_	False	_
as	_	False	_
noted	_	False	_
in	_	False	_
the	_	False	_
linked	_	False	_
article	_	False	_
,	_	False	_
commits	_	False	_
just	_	False	_
about	_	False	_
every	_	False	_
sin	_	False	_
an	_	False	_
online	_	False	_
marketer	_	False	_
could	_	False	_
commit	_	False	_
,	_	False	_
and	_	False	_
makes	_	False	_
up	_	False	_
a	_	False	_
few	_	False	_
new	_	False	_
ones	_	False	_
besides	_	False	_
.	_	False	_
Let	_	False	_
me	ARG0	False	_
join	_	False	_
the	_	False	_
chorus	ARG1	False	_
of	_	False	_
annoyance	_	False	_
over	_	False	_
Google	_	False	_
's	_	False	_
new	_	False	_
toolbar	_	False	_
,	_	False	_
which	_	False	_
,	_	False	_
as	_	False	_
noted	_	False	_
in	_	False	_
the	_	False	_
linked	_	False	_
article	_	False	_
,	_	False	_
commits	_	False	_
just	_	False	_
about	_	False	_
every	_	False	_
sin	_	False	_
an	_	False	_
online	_	False	_
marketer	_	False	_
could	_	False	_
commit	_	False	_
,	_	False	_
and	_	False	_
makes	_	False	_
up	_	False	_
a	_	False	_
few	_	False	_
new	_	False	_
ones	_	False	_
besides	_	False	_
.	_	False	_
Let	_	False	_
me	_	False	_
join	_	False	_
the	_	False	_
chorus	_	False	_
of	_	False	_
annoyance	ARG1	False	_
over	_	False	_
Google	_	False	_
's	_	False	_
new	_	False	_
toolbar	_	False	_
,	_	False	_
which	_	False	_
,	_	False	_
as	_	False	_
noted	_	False	_
in	_	False	_
the	_	False	_
linked	_	False	_
article	_	False	_
,	_	False	_
commits	_	False	_
just	_	False	_
about	_	False	_
every	_	False	_
sin	_	False	_
an	_	False	_
online	_	False	_
marketer	_	False	_
could	_	False	_
commit	_	False	_
,	_	False	_
and	_	False	_
makes	_	False	_
up	_	False	_
a	_	False	_
few	_	False	_
new	_	False	_
ones	_	False	_
besides	_	False	_
.	_	False	_
Let	_	False	_
me	_	False	_
join	_	False	_
the	_	False	_
chorus	_	False	_
of	_	False	_
annoyance	_	False	_
over	_	False	_
Google	_	False	_
's	_	False	_
new	_	False	_
toolbar	_	False	_
,	_	False	_
which	_	False	_
,	_	False	_
as	_	False	_
noted	_	False	_
in	_	False	_
the	_	False	_
linked	_	False	_
article	ARGM-LOC	False	_
,	_	False	_
commits	_	False	_
just	_	False	_
about	_	False	_
every	_	False	_
sin	_	False	_
an	_	False	_
online	_	False	_
marketer	_	False	_
could	_	False	_
commit	_	False	_
,	_	False	_
and	_	False	_
makes	_	False	_
up	_	False	_
a	_	False	_
few	_	False	_
new	_	False	_
ones	_	False	_
besides	_	False	_
.	_	False	_
Let	_	False	_
me	_	False	_
join	_	False	_
the	_	False	_
chorus	_	False	_
of	_	False	_
annoyance	_	False	_
over	_	False	_
Google	_	False	_
's	_	False	_
new	_	False	_
toolbar	_	False	_
,	_	False	_
which	_	False	_
,	_	False	_
as	_	False	_
noted	_	False	_
in	_	False	_
the	_	False	_
linked	_	False	_
article	ARG1	False	_
,	_	False	_
commits	_	False	_
just	_	False	_
about	_	False	_
every	_	False	_
sin	_	False	_
an	_	False	_
online	_	False	_
marketer	_	False	_
could	_	False	_
commit	_	False	_
,	_	False	_
and	_	False	_
makes	_	False	_
up	_	False	_
a	_	False	_
few	_	False	_
new	_	False	_
ones	_	False	_
besides	_	False	_
.	_	False	_
Let	_	False	_
me	_	False	_
join	_	False	_
the	_	False	_
chorus	_	False	_
of	_	False	_
annoyance	_	False	_
over	_	False	_
Google	_	False	_
's	_	False	_
new	_	False	_
toolbar	ARG0	False	_
,	_	False	_
which	R-ARG0	False	_
,	_	False	_
as	_	False	_
noted	ARGM-ADV	False	_
in	_	False	_
the	_	False	_
linked	_	False	_
article	_	False	_
,	_	False	_
commits	_	False	_
just	_	False	_
about	_	False	_
every	_	False	_
sin	ARG1	False	_
an	_	False	_
online	_	False	_
marketer	_	False	_
could	_	False	_
commit	_	False	_
,	_	False	_
and	_	False	_
makes	_	False	_
up	_	False	_
a	_	False	_
few	_	False	_
new	_	False	_
ones	_	False	_
besides	_	False	_
.	_	False	_
Let	_	False	_
me	_	False	_
join	_	False	_
the	_	False	_
chorus	_	False	_
of	_	False	_
annoyance	_	False	_
over	_	False	_
Google	_	False	_
's	_	False	_
new	_	False	_
toolbar	_	False	_
,	_	False	_
which	_	False	_
,	_	False	_
as	_	False	_
noted	_	False	_
in	_	False	_
the	_	False	_
linked	_	False	_
article	_	False	_
,	_	False	_
commits	_	False	_
just	_	False	_
about	_	False	_
every	_	False	_
sin	ARG1	False	_
an	_	False	_
online	_	False	_
marketer	ARG0	False	_
could	ARGM-MOD	False	_
commit	_	False	_
,	_	False	_
and	_	False	_
makes	_	False	_
up	_	False	_
a	_	False	_
few	_	False	_
new	_	False	_
ones	_	False	_
besides	_	False	_
.	_	False	_
Let	_	False	_
me	_	False	_
join	_	False	_
the	_	False	_
chorus	_	False	_
of	_	False	_
annoyance	_	False	_
over	_	False	_
Google	_	False	_
's	_	False	_
new	_	False	_
toolbar	ARG0	False	_
,	_	False	_
which	R-ARG0	False	_
,	_	False	_
as	_	False	_
noted	ARGM-ADV	False	_
in	_	False	_
the	_	False	_
linked	_	False	_
article	_	False	_
,	_	False	_
commits	_	False	_
just	_	False	_
about	_	False	_
every	_	False	_
sin	_	False	_
an	_	False	_
online	_	False	_
marketer	_	False	_
could	_	False	_
commit	_	False	_
,	_	False	_
and	_	False	_
makes	_	False	_
up	_	False	_
a	_	False	_
few	_	False	_
new	_	False	_
ones	ARG1	False	_
besides	ARGM-ADV	False	_
.	_	False	_
I	ARG1	False	_
'm	_	False	_
not	ARGM-NEG	False	_
fond	ARG2	False	_
of	_	False	_
the	_	False	_
Google	_	False	_
-	_	False	_
hates	_	False	_
-	_	False	_
privacy	_	False	_
argument	_	False	_
I	ARG0	False	_
'm	_	False	_
not	ARGM-NEG	False	_
fond	_	False	_
of	_	False	_
the	_	False	_
Google	_	False	_
-	_	False	_
hates	_	False	_
-	_	False	_
privacy	_	False	_
argument	ARG1	False	_
I	_	False	_
'm	_	False	_
not	_	False	_
fond	_	False	_
of	_	False	_
the	_	False	_
Google	ARG0	False	_
-	_	False	_
hates	_	False	_
-	_	False	_
privacy	ARG1	False	_
argument	_	False	_
I	_	False	_
'm	_	False	_
not	_	False	_
fond	_	False	_
of	_	False	_
the	_	False	_
Google	_	False	_
-	_	False	_
hates	ARG1	False	_
-	_	False	_
privacy	_	False	_
argument	_	False	_
(	_	False	_
You	_	False	_
do	_	False	_
n't	_	False	_
need	_	False	_
to	_	False	_
use	_	False	_
their	_	False	_
site	_	False	_
,	_	False	_
you	_	False	_
can	_	False	_
opt	_	False	_
-	_	False	_
out	_	False	_
of	_	False	_
sharing	_	False	_
your	_	False	_
information	_	False	_
,	_	False	_
you	_	False	_
do	_	False	_
n't	_	False	_
need	_	False	_
to	_	False	_
send	_	False	_
stuff	_	False	_
to	_	False	_
anyone	_	False	_
with	_	False	_
a	_	False	_
Gmail	_	False	_
account	_	False	_
,	_	False	_
and	_	False	_
if	_	False	_
--	_	False	_
wonder	_	False	_
of	_	False	_
wonders	_	False	_
--	_	False	_
you	_	False	_
're	_	False	_
worried	_	False	_
that	_	False	_
you	_	False	_
might	_	False	_
send	_	False	_
something	_	False	_
to	_	False	_
someone	_	False	_
who	_	False	_
would	_	False	_
forward	_	False	_
an	_	False	_
excerpt	_	False	_
to	_	False	_
someone	_	False	_
who	_	False	_
would	_	False	_
then	_	False	_
store	_	False	_
it	_	False	_
on	_	False	_
a	_	False	_
Gmail	_	False	_
account	_	False	_
...	_	False	_
you	_	False	_
have	_	False	_
far	_	False	_
,	_	False	_
far	_	False	_
too	_	False	_
much	_	False	_
time	_	False	_
on	_	False	_
your	_	False	_
hands	_	False	_
)	_	False	_
.	_	False	_
(	_	False	_
You	ARG0	False	_
do	_	False	_
n't	ARGM-NEG	False	_
need	_	False	_
to	_	False	_
use	ARG1	False	_
their	_	False	_
site	_	False	_
,	_	False	_
you	_	False	_
can	_	False	_
opt	_	False	_
-	_	False	_
out	_	False	_
of	_	False	_
sharing	_	False	_
your	_	False	_
information	_	False	_
,	_	False	_
you	_	False	_
do	_	False	_
n't	_	False	_
need	_	False	_
to	_	False	_
send	_	False	_
stuff	_	False	_
to	_	False	_
anyone	_	False	_
with	_	False	_
a	_	False	_
Gmail	_	False	_
account	_	False	_
,	_	False	_
and	_	False	_
if	_	False	_
--	_	False	_
wonder	_	False	_
of	_	False	_
wonders	_	False	_
--	_	False	_
you	_	False	_
're	_	False	_
worried	_	False	_
that	_	False	_
you	_	False	_
might	_	False	_
send	_	False	_
something	_	False	_
to	_	False	_
someone	_	False	_
who	_	False	_
would	_	False	_
forward	_	False	_
an	_	False	_
excerpt	_	False	_
to	_	False	_
someone	_	False	_
who	_	False	_
would	_	False	_
then	_	False	_
store	_	False	_
it	_	False	_
on	_	False	_
a	_	False	_
Gmail	_	False	_
account	_	False	_
...	_	False	_
you	_	False	_
have	_	False	_
far	_	False	_
,	_	False	_
far	_	False	_
too	_	False	_
much	_	False	_
time	_	False	_
on	_	False	_
your	_	False	_
hands	_	False	_
